Area,Room,parking,warehouse,elevator,Address,Price,Price(USD)
63,1,1,1,1,Shahran,1850000000,61666.666666666664
60,1,1,1,1,Shahran,1850000000,61666.666666666664
79,2,1,1,1,Pardis,550000000,18333.333333333332
95,2,1,1,1,"Shahrake Qods",902500000,30083.333333333332
123,2,1,1,1,"Shahrake Gharb",7000000000,233333.33333333334
70,2,1,1,0,"North Program Organization",2050000000,68333.33333333333
87,2,1,1,1,Pardis,600000000,20000
59,1,1,1,1,Shahran,2150000000,71666.66666666667
54,2,1,1,0,Andisheh,493000000,16433.333333333332
71,1,1,1,1,"West Ferdows Boulevard",2370000000,79000
68,2,1,1,1,"West Ferdows Boulevard",2450000000,81666.66666666667
64,1,1,1,1,Narmak,2100000000,70000
54,1,0,1,1,Narmak,1690000000,56333.333333333336
136,3,1,1,1,"Saadat Abad",11000000000,366666.6666666667
95,2,1,1,1,Zafar,5000000000,166666.66666666666
63,1,0,1,0,Islamshahr,570000000,19000
155,3,1,1,1,Narmak,6700000000,223333.33333333334
64,2,0,1,0,Pirouzi,1450000000,48333.333333333336
140,3,1,1,1,"West Ferdows Boulevard",6400000000,213333.33333333334
42,1,0,1,0,Pirouzi,1390000000,46333.333333333336
93,2,1,1,1,"Shahrake Gharb",7000000000,233333.33333333334
65,1,1,1,1,Shahran,1880000000,62666.666666666664
105,2,1,1,1,"Saadat Abad",7150000000,238333.33333333334
160,3,1,1,1,Velenjak,14945000000,498166.6666666667
77,2,1,1,1,Amirieh,1771000000,59033.333333333336
123,2,1,1,1,Pirouzi,4059000000,135300
110,2,1,1,1,"Southern Janatabad",630000000,21000
100,2,1,1,1,"West Ferdows Boulevard",3200000000,106666.66666666667
90,2,0,1,0,Salsabil,1500000000,50000
49,1,1,1,1,"West Ferdows Boulevard",2200000000,73333.33333333333
67,2,1,1,0,"Feiz Garden",2350000000,78333.33333333333
68,2,1,1,1,"West Ferdows Boulevard",2500000000,83333.33333333333
